gene_id	baseMn	l2fc	lfcSE	pval	padj
ATP1A3	1.19E+00	0.31	1.33	8.16E-01	1.00E+00
ATP1B1	6.60E+02	0.02	0.15	8.70E-01	1.00E+00
ATP1B2	1.69E+01	0.11	0.27	6.85E-01	1.00E+00
ATP1B3	2.64E+03	0.04	0.08	6.50E-01	1.00E+00
ATP1B4	1.58E+00	1.58	1.18	1.80E-01	1.00E+00
ATP23	1.67E+01	0.06	0.38	8.65E-01	1.00E+00
ATP2A1	2.00E+00	0.05	1.09	9.64E-01	1.00E+00
ATP2B1	1.53E+03	0.02	0.07	7.40E-01	1.00E+00
ATP2C2	6.62E-01	1.79	1.52	2.40E-01	1.00E+00
ATP5MC1	2.28E+01	0.04	0.29	8.98E-01	1.00E+00
ATP5ME	2.16E+02	0.04	0.12	7.59E-01	1.00E+00
ATP5MG	5.85E+02	0.01	0.09	8.89E-01	1.00E+00
ATP5MJ	2.64E+02	0.11	0.15	4.74E-01	1.00E+00
ATP5PD	3.69E+02	0.02	0.1	8.50E-01	1.00E+00
ATP6V0A2	6.07E+02	0.01	0.08	8.81E-01	1.00E+00
ATP6V0B	4.68E+02	0.12	0.13	3.43E-01	1.00E+00
ATP6V0D1	4.65E+02	0.02	0.09	8.43E-01	1.00E+00
ATP6V0E1	5.72E+02	0.04	0.08	6.24E-01	1.00E+00
ATP6V0E2	4.68E+01	0.21	0.21	3.19E-01	1.00E+00
ATP6V1A	9.12E+02	0.04	0.08	6.43E-01	1.00E+00
ATP6V1B2	1.14E+03	0.02	0.08	8.12E-01	1.00E+00
ATP6V1C1	7.19E+02	0.08	0.07	2.45E-01	1.00E+00
ATP6V1D	5.41E+02	0.08	0.09	3.75E-01	1.00E+00
ATP6V1E1	8.22E+02	0.04	0.08	6.39E-01	1.00E+00
ATP6V1E2	7.27E+00	0.26	0.53	6.22E-01	1.00E+00
ATP6V1G1	6.09E+02	0.15	0.11	1.74E-01	1.00E+00
ATP6V1H	4.29E+02	0.13	0.08	1.31E-01	1.00E+00
ATP7B	1.38E+02	0.02	0.12	8.71E-01	1.00E+00
ATP8	1.24E+03	0.01	0.24	9.53E-01	1.00E+00
ATP8A1	5.41E+02	0.01	0.1	8.99E-01	1.00E+00
ATP8B1	5.88E+02	0.04	0.1	6.89E-01	1.00E+00
ATP8B2	7.47E+02	0.12	0.07	8.27E-02	1.00E+00
ATP8B3	2.73E+00	0.44	0.75	5.61E-01	1.00E+00
ATP8B4	4.70E+00	0.01	0.57	9.86E-01	1.00E+00
ATP9A	8.28E+02	0.02	0.08	7.66E-01	1.00E+00
ATP9B	1.32E+02	0.06	0.13	6.42E-01	1.00E+00
ATPAF1	2.77E+02	0.08	0.08	3.29E-01	1.00E+00
ATR	2.59E+02	0.12	0.11	2.83E-01	1.00E+00
ATRN	1.00E+03	0.03	0.09	7.28E-01	1.00E+00
ATRX	2.00E+03	0.03	0.11	8.01E-01	1.00E+00
ATXN1L	7.43E+02	0.07	0.1	4.96E-01	1.00E+00
ATXN2L	5.28E+02	0.05	0.1	6.39E-01	1.00E+00
ATXN3	1.84E+02	0.25	0.12	4.60E-02	1.00E+00
