gene_id	baseMn	l2fc	lfcSE	pval	padj
SLC7A14	2.53E+00	0.5	0.71	4.82E-01	1.00E+00
SLC7A2	2.09E+02	0.01	0.13	9.60E-01	1.00E+00
SLC7A6	1.32E+02	0.12	0.16	4.52E-01	1.00E+00
SLC8A1	1.26E+01	0.09	0.4	8.26E-01	1.00E+00
SLC8A3	2.72E+01	0.48	0.23	3.57E-02	1.00E+00
SLC9A1	2.49E+02	0.06	0.11	5.78E-01	1.00E+00
SLC9A2	2.43E+00	2.03	0.86	1.80E-02	1.00E+00
SLC9A3	3.61E+01	0.35	0.24	1.50E-01	1.00E+00
SLC9A3R2	7.14E+02	0.07	0.11	5.41E-01	1.00E+00
SLC9A4	1.66E+00	0.23	0.93	8.05E-01	1.00E+00
SLC9A5	6.12E+00	0.05	0.55	9.27E-01	1.00E+00
SLC9A7	9.10E+01	0.28	0.14	4.65E-02	1.00E+00
SLCO2B1	1.56E+00	0.51	1	6.09E-01	1.00E+00
SLCO4C1	1.62E+01	0.29	0.29	3.20E-01	1.00E+00
SLCO5A1	2.62E+00	0.83	0.8	2.98E-01	1.00E+00
SLCO6A1	2.71E+00	0.09	0.82	9.16E-01	1.00E+00
SLFN11	1.51E+01	0.32	0.34	3.47E-01	1.00E+00
SLFN12	1.20E+02	0.1	0.1	3.56E-01	1.00E+00
SLFN12L	3.61E+01	0.06	0.22	7.75E-01	1.00E+00
SLFN5	1.46E+03	0.03	0.13	8.40E-01	1.00E+00
SLFNL1	1.84E+00	1.16	0.89	1.94E-01	1.00E+00
SLITRK1	1.33E+01	0.01	0.33	9.83E-01	1.00E+00
SLITRK2	4.61E+00	0.22	0.67	7.39E-01	1.00E+00
SLITRK6	2.23E+00	0.27	0.94	7.73E-01	1.00E+00
SLU7	4.28E+02	0.05	0.1	6.15E-01	1.00E+00
SLX1B	1.89E+00	4.59	2.99	1.24E-01	1.00E+00
SLX4IP	7.90E+01	0.09	0.13	4.97E-01	1.00E+00
SMAD2	8.65E+02	0.01	0.08	8.83E-01	1.00E+00
SMAD3	6.92E+02	0.16	0.08	3.82E-02	1.00E+00
SMAD4	6.02E+02	0.03	0.08	7.27E-01	1.00E+00
SMAD5	6.73E+02	0.01	0.1	9.17E-01	1.00E+00
SMAD6	1.33E+03	0.08	0.11	4.52E-01	1.00E+00
SMAGP	5.66E+01	0.02	0.2	9.06E-01	1.00E+00
SMAP2	3.22E+02	0.07	0.11	4.89E-01	1.00E+00
SMARCAD1	6.46E+02	0.05	0.07	4.47E-01	1.00E+00
SMARCC1	3.34E+03	0.02	0.05	6.58E-01	1.00E+00
SMARCC2	1.33E+03	0.01	0.12	9.18E-01	1.00E+00
SMARCD1	2.38E+02	0.01	0.11	9.20E-01	1.00E+00
SMARCD2	3.80E+02	0.01	0.12	9.25E-01	1.00E+00
SMARCD3	8.73E+00	0.21	0.4	5.96E-01	1.00E+00
SMCHD1	8.59E+02	0.11	0.11	3.28E-01	1.00E+00
SMCO2	1.82E+00	1.64	1.12	1.45E-01	1.00E+00
SMG1	1.30E+03	0.02	0.14	8.90E-01	1.00E+00
SMG7	8.06E+02	0.03	0.1	7.62E-01	1.00E+00
SMG8	2.09E+02	0.09	0.1	3.71E-01	1.00E+00
SMG9	9.53E+01	0.03	0.12	7.86E-01	1.00E+00
SMIM10L1	4.60E+02	0.03	0.07	7.21E-01	1.00E+00
SMIM10L2A	9.35E+01	0.07	0.2	7.32E-01	1.00E+00
SMIM10L2B	1.19E+01	0.9	0.38	1.77E-02	1.00E+00
SMIM12	6.28E+02	0.03	0.08	6.99E-01	1.00E+00
SMIM13	2.50E+02	0.08	0.12	4.96E-01	1.00E+00
SMIM14	2.29E+02	0.13	0.14	3.57E-01	1.00E+00
SMIM15	6.33E+02	0.04	0.09	6.53E-01	1.00E+00
SMIM17	1.11E+01	0.27	0.41	5.07E-01	1.00E+00
SMIM24	4.01E+00	0.11	0.68	8.70E-01	1.00E+00
SMIM27	2.74E+00	1.55	0.68	2.23E-02	1.00E+00
SMIM29	1.56E+01	0.34	0.3	2.62E-01	1.00E+00
SMIM3	3.28E+01	0.33	0.24	1.67E-01	1.00E+00
SMIM38	3.07E+00	2.18	0.77	4.54E-03	1.00E+00
SMIM4	4.28E+02	0.09	0.11	4.39E-01	1.00E+00
SMIM41	2.85E+00	1.53	0.77	4.58E-02	1.00E+00
SMIM5	7.20E-01	0.65	1.52	6.67E-01	1.00E+00
SMIM7	3.54E+02	0.07	0.09	4.64E-01	1.00E+00
SMNDC1	2.94E+02	0.13	0.1	1.99E-01	1.00E+00
SMOX	1.46E+02	0.17	0.15	2.66E-01	1.00E+00
SMPDL3A	3.63E+01	0.29	0.21	1.69E-01	1.00E+00
SMS	2.60E+03	0.01	0.08	9.44E-01	1.00E+00
SMU1	7.92E+02	0.03	0.06	6.28E-01	1.00E+00
SMURF1	2.52E+02	0.03	0.09	7.89E-01	1.00E+00
SMURF2	1.33E+03	0.12	0.09	1.76E-01	1.00E+00
SMYD4	9.47E+01	0.01	0.12	9.54E-01	1.00E+00
SNAI2	6.90E+02	0.1	0.14	4.49E-01	1.00E+00
SNAP23	1.19E+03	0.08	0.1	3.91E-01	1.00E+00
SNAP25	1.78E+01	0.1	0.32	7.60E-01	1.00E+00
SNAP91	1.92E+01	0.55	0.39	1.58E-01	1.00E+00
SNAPC1	2.15E+02	0.09	0.13	4.74E-01	1.00E+00
SNAPC3	4.16E+02	0.1	0.1	2.96E-01	1.00E+00
SNAPC4	1.64E+02	0.07	0.14	6.44E-01	1.00E+00
SNED1	1.04E+01	0.13	0.47	7.79E-01	1.00E+00
SNIP1	2.59E+02	0.04	0.08	6.17E-01	1.00E+00
SNN	7.54E+02	0.06	0.09	5.05E-01	1.00E+00
SNORC	1.13E+00	0.23	1.37	8.64E-01	1.00E+00
SNPH	5.21E+01	0.1	0.23	6.58E-01	1.00E+00
SNRNP27	7.21E+02	0.04	0.07	5.93E-01	1.00E+00
SNRNP35	1.02E+02	0.15	0.2	4.67E-01	1.00E+00
SNRNP48	2.34E+02	0.05	0.11	6.80E-01	1.00E+00
SNRPB2	8.92E+02	0.08	0.12	4.97E-01	1.00E+00
SNRPD3	2.41E+03	0.04	0.09	6.58E-01	1.00E+00
SNRPN	3.32E+02	0.01	0.1	9.39E-01	1.00E+00
SNTB2	1.80E+02	0.12	0.13	3.52E-01	1.00E+00
SNUPN	8.89E+01	0.03	0.13	8.33E-01	1.00E+00
SNX11	1.30E+02	0.02	0.11	8.77E-01	1.00E+00
SNX12	3.03E+02	0.03	0.12	7.66E-01	1.00E+00
SNX13	4.18E+02	0.08	0.1	3.87E-01	1.00E+00
SNX14	6.05E+02	0.02	0.08	7.69E-01	1.00E+00
SNX15	5.20E+01	0.31	0.17	7.80E-02	1.00E+00
SNX20	4.43E-01	1.58	1.64	3.35E-01	1.00E+00
SNX24	9.92E+01	0.08	0.12	5.29E-01	1.00E+00
SNX25	1.70E+02	0.06	0.11	6.06E-01	1.00E+00
SNX27	2.69E+02	0.12	0.1	2.36E-01	1.00E+00
SNX3	2.73E+03	0.01	0.1	8.96E-01	1.00E+00
SNX30	3.26E+02	0.12	0.09	1.89E-01	1.00E+00
SNX32	2.86E+00	0.18	0.81	8.26E-01	1.00E+00
SNX5	4.75E+02	0.06	0.08	4.56E-01	1.00E+00
SOAT1	5.73E+02	0.09	0.11	4.44E-01	1.00E+00
SOBP	2.39E+01	0.02	0.26	9.45E-01	1.00E+00
SOCS3	3.17E+02	0.07	0.14	6.24E-01	1.00E+00
SOCS4	7.42E+02	0.11	0.11	2.89E-01	1.00E+00
SOCS5	2.25E+02	0.09	0.11	4.22E-01	1.00E+00
SOCS6	4.79E+02	0.09	0.1	3.72E-01	1.00E+00
SOCS7	1.81E+02	0.14	0.14	3.02E-01	1.00E+00
SOD1	1.92E+03	0.01	0.08	9.23E-01	1.00E+00
SOD2	1.80E+03	0.07	0.08	4.32E-01	1.00E+00
SOGA3	1.44E+02	0.1	0.14	4.84E-01	1.00E+00
SON	2.22E+03	0.06	0.08	4.57E-01	1.00E+00
SORBS1	5.36E+02	0.08	0.1	4.59E-01	1.00E+00
SORBS2	5.25E+02	0.04	0.09	6.34E-01	1.00E+00
SORBS3	1.70E+02	0.08	0.13	5.09E-01	1.00E+00
SORCS1	1.33E+02	0.01	0.16	9.63E-01	1.00E+00
SORCS3	2.76E+00	0.45	0.7	5.21E-01	1.00E+00
SORD	2.30E+02	0.06	0.11	5.79E-01	1.00E+00
SORL1	1.03E+02	0.03	0.16	8.67E-01	1.00E+00
SOWAHC	2.04E+01	0.02	0.28	9.56E-01	1.00E+00
SOX11	4.30E+02	0.16	0.15	2.78E-01	1.00E+00
SOX13	3.42E+02	0.01	0.11	9.47E-01	1.00E+00
SOX15	1.97E+00	0.34	0.79	6.62E-01	1.00E+00
SOX17	5.68E+02	0.09	0.14	5.30E-01	1.00E+00
SOX2	4.59E-01	1.53	1.79	3.92E-01	1.00E+00
SOX4	1.56E+03	0.12	0.1	2.23E-01	1.00E+00
SOX5	1.05E+02	0.05	0.17	7.60E-01	1.00E+00
SOX7	7.30E+02	0.08	0.09	4.09E-01	1.00E+00
SOX8	3.37E+01	0.06	0.22	7.78E-01	1.00E+00
SP1	7.27E+02	0.02	0.07	7.74E-01	1.00E+00
SP140L	1.88E+02	0.18	0.1	6.55E-02	1.00E+00
SP2	5.29E+01	0.16	0.18	3.74E-01	1.00E+00
SP3	5.21E+02	0.07	0.07	3.31E-01	1.00E+00
SP4	6.02E+01	0.05	0.18	7.67E-01	1.00E+00
SP6	2.07E+02	0.15	0.18	4.21E-01	1.00E+00
SPACA6	2.16E+00	0.27	0.86	7.55E-01	1.00E+00
SPACA9	1.70E+01	0.15	0.32	6.43E-01	1.00E+00
SPAG1	3.60E+01	0.04	0.24	8.57E-01	1.00E+00
SPAG16	8.21E+01	0.33	0.15	2.88E-02	1.00E+00
SPAG4	1.35E+00	0.78	1.08	4.70E-01	1.00E+00
SPAG6	7.33E-01	0.33	1.47	8.24E-01	1.00E+00
SPAG7	4.84E+02	0.01	0.09	9.51E-01	1.00E+00
SPAG8	4.11E-01	0.86	1.84	6.39E-01	1.00E+00
SPARCL1	5.47E+00	0.72	0.53	1.74E-01	1.00E+00
SPART	1.52E+03	0.02	0.07	7.81E-01	1.00E+00
SPAST	5.04E+02	0.04	0.09	6.44E-01	1.00E+00
SPATA13	1.02E+02	0.2	0.15	1.84E-01	1.00E+00
SPATA2	3.82E+01	0.24	0.21	2.56E-01	1.00E+00
SPATA20	1.18E+02	0.19	0.17	2.74E-01	1.00E+00
SPATA46	9.94E-01	0.82	1.12	4.64E-01	1.00E+00
SPATA5	1.38E+02	0.02	0.14	8.82E-01	1.00E+00
SPATA5L1	7.20E+01	0.08	0.15	6.22E-01	1.00E+00
SPATA6	4.65E+01	0.07	0.19	7.14E-01	1.00E+00
SPATA6L	1.98E+00	0.04	0.93	9.70E-01	1.00E+00
SPATA7	8.13E+01	0.06	0.14	6.57E-01	1.00E+00
SPATA9	2.96E+00	0.99	0.71	1.62E-01	1.00E+00
SPATS2	2.32E+02	0.01	0.08	8.71E-01	1.00E+00
SPC25	4.86E+01	0.19	0.19	3.25E-01	1.00E+00
SPCS1	5.33E+02	0.08	0.15	5.92E-01	1.00E+00
SPCS3	3.29E+03	0.08	0.07	1.99E-01	1.00E+00
SPDL1	3.53E+02	0.11	0.1	2.99E-01	1.00E+00
SPDYE1	3.96E+00	1.11	0.87	1.99E-01	1.00E+00
SPDYE10P	2.16E-01	1.49	3.05	6.25E-01	1.00E+00
SPDYE12P	1.57E+00	1.1	2.8	6.93E-01	1.00E+00
SPDYE17	1.01E+00	2.89	3	3.35E-01	1.00E+00
SPDYE18	1.12E+00	1.43	1.2	2.33E-01	1.00E+00
SPDYE2	7.01E+00	0.41	0.53	4.38E-01	1.00E+00
SPDYE21	3.53E+00	0.15	0.84	8.57E-01	1.00E+00
SPDYE5	1.83E+00	0.41	2.01	8.38E-01	1.00E+00
SPEF2	4.09E+02	0.09	0.1	3.97E-01	1.00E+00
SPEG	2.37E+00	0.52	1.69	7.58E-01	1.00E+00
SPEN	6.66E+02	0.02	0.22	9.41E-01	1.00E+00
SPHK2	4.63E+01	0.11	0.17	5.25E-01	1.00E+00
SPIB	3.82E+00	1.36	0.82	9.68E-02	1.00E+00
SPIN1	1.21E+03	0.03	0.08	7.43E-01	1.00E+00
SPIN2B	1.85E+02	0.02	0.12	8.91E-01	1.00E+00
SPIN3	9.83E+01	0.08	0.13	5.40E-01	1.00E+00
SPIN4	2.11E+03	0.01	0.1	9.25E-01	1.00E+00
SPINK5	1.06E+02	0.13	0.17	4.40E-01	1.00E+00
SPINT2	2.34E+02	0.12	0.1	2.55E-01	1.00E+00
SPIRE1	6.37E+02	0.06	0.09	5.20E-01	1.00E+00
SPIRE2	8.06E+00	0.09	0.45	8.33E-01	1.00E+00
SPN	1.12E+01	0.79	0.32	1.26E-02	1.00E+00
SPNS2	2.04E+02	0.09	0.13	5.00E-01	1.00E+00
SPOCD1	3.94E+01	0.12	0.27	6.69E-01	1.00E+00
SPOCK1	1.84E+01	0.28	0.34	4.02E-01	1.00E+00
SPOCK2	3.72E+00	0.02	0.64	9.77E-01	1.00E+00
SPOCK3	2.72E+02	0.04	0.09	6.67E-01	1.00E+00
SPON1	1.04E+03	0.07	0.07	2.72E-01	1.00E+00
SPOP	3.21E+02	0.01	0.11	9.34E-01	1.00E+00
SPOPL	2.50E+02	0.16	0.13	2.36E-01	1.00E+00
SPOUT1	3.24E+02	0.06	0.12	6.23E-01	1.00E+00
SPP1	1.01E+01	0.25	0.42	5.44E-01	1.00E+00
SPPL2A	6.55E+02	0.06	0.11	5.52E-01	1.00E+00
SPPL2B	5.84E+01	0.19	0.19	3.17E-01	1.00E+00
SPPL3	3.96E+02	0.07	0.11	5.30E-01	1.00E+00
SPR	1.25E+02	0.12	0.13	3.43E-01	1.00E+00
SPRED1	6.70E+02	0.05	0.11	6.23E-01	1.00E+00
SPRED3	4.80E+01	0.09	0.18	6.12E-01	1.00E+00
SPRING1	6.06E+02	0.06	0.08	4.49E-01	1.00E+00
SPRTN	1.59E+02	0.01	0.11	9.39E-01	1.00E+00
SPRY2	2.46E+02	0.01	0.12	9.36E-01	1.00E+00
SPRY3	4.47E+01	0.11	0.2	5.85E-01	1.00E+00
SPRYD3	2.96E+02	0.03	0.13	8.35E-01	1.00E+00
SPRYD4	7.02E+01	0.18	0.16	2.77E-01	1.00E+00
SPSB1	2.58E+01	0.67	0.25	8.39E-03	1.00E+00
SPSB2	1.16E+01	0.47	0.43	2.81E-01	1.00E+00
SPSB3	6.30E+01	0.03	0.26	9.05E-01	1.00E+00
SPTA1	6.51E+00	0.18	0.57	7.51E-01	1.00E+00
SPTBN4	1.83E+00	0.79	1.27	5.35E-01	1.00E+00
SPTBN5	2.28E+02	0.11	0.17	5.11E-01	1.00E+00
SPTLC2	1.26E+03	0.05	0.08	5.38E-01	1.00E+00
SPTY2D1OS	5.16E-01	0.74	1.43	6.05E-01	1.00E+00
SQOR	8.56E+00	0.37	0.49	4.53E-01	1.00E+00
SRARP	4.44E+00	0.37	0.62	5.45E-01	1.00E+00
SRBD1	2.10E+02	0.05	0.13	6.97E-01	1.00E+00
SRD5A1	2.19E+02	0.07	0.12	5.69E-01	1.00E+00
SRD5A2	6.65E-01	1.83	1.62	2.60E-01	1.00E+00
SRD5A3	2.49E+02	0.01	0.1	9.25E-01	1.00E+00
SREBF1	1.01E+02	0.18	0.17	2.95E-01	1.00E+00
SREK1	1.77E+03	0.08	0.13	5.44E-01	1.00E+00
SREK1IP1	2.73E+02	0.02	0.11	8.31E-01	1.00E+00
SRF	5.81E+02	0.1	0.16	5.21E-01	1.00E+00
SRFBP1	1.34E+02	0.08	0.14	5.55E-01	1.00E+00
SRGAP1	3.12E+02	0.03	0.12	7.88E-01	1.00E+00
SRGAP2B	5.55E+02	0.09	0.09	3.39E-01	1.00E+00
SRGAP3	1.76E+00	0.24	1.07	8.22E-01	1.00E+00
SRGN	1.39E+01	0.19	0.37	5.97E-01	1.00E+00
SRP19	6.44E+02	0.06	0.09	4.90E-01	1.00E+00
SRP72	1.46E+03	0.01	0.07	9.08E-01	1.00E+00
SRP9	3.32E+03	0.05	0.11	6.39E-01	1.00E+00
SRPK1	6.18E+02	0.07	0.07	3.37E-01	1.00E+00
SRRM1	1.04E+03	0.04	0.08	6.22E-01	1.00E+00
SRRM2	1.22E+03	0.09	0.14	5.44E-01	1.00E+00
SRRM3	4.52E+00	0.42	0.58	4.67E-01	1.00E+00
SRRM5	5.66E+00	0.27	0.65	6.79E-01	1.00E+00
SRSF1	5.72E+03	0.12	0.12	3.22E-01	1.00E+00
SRSF2	1.47E+03	0.05	0.11	6.29E-01	1.00E+00
SRSF3	4.72E+03	0.01	0.07	9.25E-01	1.00E+00
SRSF5	1.35E+03	0.05	0.13	6.98E-01	1.00E+00
SRSF8	7.04E+02	0.11	0.1	2.68E-01	1.00E+00
SRXN1	1.45E+02	0.08	0.15	5.70E-01	1.00E+00
SS18	1.35E+03	0.03	0.08	7.35E-01	1.00E+00
SS18L1	9.75E+01	0.19	0.13	1.48E-01	1.00E+00
SSB	4.72E+03	0.01	0.08	8.87E-01	1.00E+00
SSBP2	3.37E+02	0.02	0.09	8.55E-01	1.00E+00
SSH1	1.10E+03	0.15	0.09	1.16E-01	1.00E+00
SSPN	2.50E+01	0.15	0.25	5.28E-01	1.00E+00
SSR1	1.04E+03	0.07	0.08	3.93E-01	1.00E+00
SSR3	1.48E+03	0.1	0.1	3.32E-01	1.00E+00
SSTR2	1.09E+01	0.08	0.43	8.59E-01	1.00E+00
SSU72	7.47E+02	0.03	0.08	6.87E-01	1.00E+00
ST14	5.16E-01	1.18	1.61	4.64E-01	1.00E+00
ST18	4.66E-01	1.07	1.67	5.24E-01	1.00E+00
ST3GAL1	3.37E+02	0.06	0.11	6.04E-01	1.00E+00
ST3GAL2	4.75E+02	0.11	0.1	2.53E-01	1.00E+00
ST3GAL3	4.56E+01	0.17	0.18	3.39E-01	1.00E+00
ST3GAL5	6.69E+01	0.01	0.16	9.48E-01	1.00E+00
ST3GAL6	1.44E+02	0.11	0.17	5.24E-01	1.00E+00
ST6GAL2	1.72E+01	0.29	0.29	3.24E-01	1.00E+00
ST8SIA2	4.15E+01	0.02	0.23	9.31E-01	1.00E+00
ST8SIA3	3.03E+01	0.15	0.22	4.80E-01	1.00E+00
ST8SIA4	3.31E+02	0.03	0.1	7.54E-01	1.00E+00
ST8SIA5	6.15E+00	0.6	0.56	2.84E-01	1.00E+00
ST8SIA6	4.60E+01	0.05	0.19	8.01E-01	1.00E+00
STAB1	1.50E+03	0.01	0.1	8.86E-01	1.00E+00
STAC2	1.02E+00	2.95	1.29	2.17E-02	1.00E+00
STAC3	2.66E+00	0.39	0.76	6.04E-01	1.00E+00
STAM	1.58E+02	0.06	0.13	6.60E-01	1.00E+00
STAM2	2.99E+02	0.07	0.1	4.74E-01	1.00E+00
STAR	4.03E+00	0.41	0.67	5.37E-01	1.00E+00
STARD13	2.64E+02	0.07	0.09	4.69E-01	1.00E+00
STARD3NL	8.91E+02	0.05	0.12	6.45E-01	1.00E+00
STARD4	8.91E+02	0.01	0.13	9.44E-01	1.00E+00
STARD7	1.43E+03	0.1	0.07	1.60E-01	1.00E+00
STARD8	2.51E+02	0.04	0.11	7.09E-01	1.00E+00
STARD9	6.47E+01	0.22	0.17	1.91E-01	1.00E+00
STAT2	1.79E+02	0.06	0.11	6.01E-01	1.00E+00
STAT3	1.10E+03	0.01	0.07	9.09E-01	1.00E+00
STAT5B	4.25E+02	0.05	0.1	5.84E-01	1.00E+00
STBD1	8.09E+01	0.09	0.18	6.20E-01	1.00E+00
STC2	2.40E+00	0.18	1.12	8.71E-01	1.00E+00
STEAP1	2.28E+02	0.04	0.11	7.30E-01	1.00E+00
STEAP1B	1.10E+02	0.01	0.17	9.74E-01	1.00E+00
STEAP2	2.09E+01	0.21	0.28	4.48E-01	1.00E+00
STEAP4	2.95E+00	0.11	0.68	8.67E-01	1.00E+00
STEEP1	2.22E+02	0.01	0.11	9.07E-01	1.00E+00
STIL	8.50E+01	0.04	0.12	7.36E-01	1.00E+00
STIM1	4.36E+02	0.01	0.1	9.54E-01	1.00E+00
STIMATE	3.90E+02	0.01	0.09	9.58E-01	1.00E+00
STING1	8.28E+01	0.08	0.19	6.94E-01	1.00E+00
STK17A	9.66E+01	0.01	0.13	9.13E-01	1.00E+00
STK24	6.37E+02	0.03	0.08	7.14E-01	1.00E+00
STK25	5.28E+02	0.06	0.08	5.10E-01	1.00E+00
STK3	1.87E+02	0.08	0.1	4.43E-01	1.00E+00
STK35	3.08E+02	0.03	0.11	8.14E-01	1.00E+00
STK36	1.24E+02	0.25	0.13	5.00E-02	1.00E+00
STK38	7.40E+02	0.02	0.09	8.08E-01	1.00E+00
STK38L	3.42E+02	0.03	0.12	7.82E-01	1.00E+00
STK39	3.03E+02	0.02	0.1	8.55E-01	1.00E+00
STK4	3.37E+02	0.01	0.09	9.20E-01	1.00E+00
STMN1	3.35E+03	0.03	0.12	8.02E-01	1.00E+00
STMP1	2.23E+02	0.04	0.14	7.85E-01	1.00E+00
STOM	2.60E+02	0.09	0.14	5.39E-01	1.00E+00
STON1-GTF2A1L	5.25E+00	0.9	1.47	5.40E-01	1.00E+00
STON2	2.59E+02	0.15	0.12	2.09E-01	1.00E+00
STOX2	3.62E+01	0.07	0.19	7.32E-01	1.00E+00
STRADB	1.03E+02	0.08	0.16	6.24E-01	1.00E+00
STRAP	1.73E+03	0.04	0.07	5.56E-01	1.00E+00
STRBP	2.16E+02	0.01	0.13	9.63E-01	1.00E+00
STRC	5.98E-01	2.08	1.54	1.78E-01	1.00E+00
STRIP2	4.38E+01	0.25	0.24	3.12E-01	1.00E+00
STRN	6.96E+02	0.02	0.09	8.56E-01	1.00E+00
STRN3	5.48E+02	0.08	0.08	3.27E-01	1.00E+00
STS	1.57E+02	0.13	0.13	3.15E-01	1.00E+00
STT3B	2.26E+03	0.08	0.11	4.31E-01	1.00E+00
STUM	2.02E+00	0.69	0.95	4.66E-01	1.00E+00
STX11	1.44E+01	0.52	0.31	9.07E-02	1.00E+00
STX16	6.12E+02	0.2	0.1	5.50E-02	1.00E+00
STX1A	1.94E+01	0.14	0.26	6.01E-01	1.00E+00
STX1B	8.23E+00	0.46	0.43	2.86E-01	1.00E+00
STXBP4	7.20E+01	0.37	0.16	2.39E-02	1.00E+00
STXBP5L	1.35E+01	0.31	0.41	4.53E-01	1.00E+00
STXBP6	7.80E+00	0.49	0.52	3.47E-01	1.00E+00
STYX	2.97E+02	0.21	0.12	7.14E-02	1.00E+00
STYXL2	1.08E+00	0.71	1.18	5.51E-01	1.00E+00
SUCLG1	3.97E+02	0.11	0.08	1.53E-01	1.00E+00
SUCNR1	1.73E+00	0.7	1.16	5.44E-01	1.00E+00
SUCO	9.45E+02	0.1	0.08	2.59E-01	1.00E+00
SUDS3	5.81E+02	0.08	0.08	3.51E-01	1.00E+00
SUFU	3.12E+02	0.09	0.09	3.14E-01	1.00E+00
SUGP2	3.49E+02	0.16	0.09	6.68E-02	1.00E+00
SUGT1	1.11E+03	0.05	0.06	4.58E-01	1.00E+00
SULF1	2.91E+02	0.04	0.12	7.55E-01	1.00E+00
SULT1B1	1.40E+02	0.36	0.21	9.41E-02	1.00E+00
SULT1C2	3.45E+00	0.63	0.62	3.07E-01	1.00E+00
SULT4A1	2.64E+01	0.15	0.27	5.74E-01	1.00E+00
SUMF1	3.64E+02	0.08	0.09	3.61E-01	1.00E+00
SUMF2	6.44E+02	0.02	0.09	8.61E-01	1.00E+00
SUMO2	1.18E+03	0.01	0.06	9.26E-01	1.00E+00
SUMO3	3.60E+02	0.01	0.08	9.25E-01	1.00E+00
SUOX	8.36E+01	0.01	0.16	9.46E-01	1.00E+00
SUPT20H	2.22E+02	0.05	0.09	5.72E-01	1.00E+00
SUPT20HL2	8.79E-01	0.62	1.42	6.65E-01	1.00E+00
SUPT4H1	2.68E+02	0.04	0.11	6.94E-01	1.00E+00
SUPT7L	1.82E+02	0.12	0.11	2.72E-01	1.00E+00
SURF4	1.43E+03	0.01	0.09	9.49E-01	1.00E+00
SUSD5	2.85E+02	0.12	0.1	2.21E-01	1.00E+00
SUSD6	3.25E+02	0.06	0.1	5.66E-01	1.00E+00
SUV39H2	1.24E+02	0.01	0.13	9.69E-01	1.00E+00
SUZ12	3.62E+02	0.03	0.09	7.25E-01	1.00E+00
SV2B	1.14E+00	0.91	1.18	4.40E-01	1.00E+00
SV2C	1.13E+01	0.7	0.45	1.16E-01	1.00E+00
SVOP	3.94E+00	1.21	0.66	6.69E-02	1.00E+00
SWSAP1	8.58E+00	0.43	0.42	3.04E-01	1.00E+00
SYAP1	5.33E+02	0.08	0.08	3.20E-01	1.00E+00
SYCE1L	3.45E+00	0.32	0.77	6.74E-01	1.00E+00
SYCP2	2.33E+00	0.17	0.81	8.33E-01	1.00E+00
SYDE1	5.79E+01	0.5	0.2	1.18E-02	1.00E+00
SYDE2	1.47E+01	0.12	0.37	7.48E-01	1.00E+00
SYK	3.11E+01	0.22	0.21	2.95E-01	1.00E+00
SYN3	1.76E+01	0.22	0.29	4.52E-01	1.00E+00
SYNDIG1	4.48E+00	0.92	0.69	1.79E-01	1.00E+00
SYNE2	5.18E+02	0.02	0.22	9.14E-01	1.00E+00
SYNE3	7.18E+01	0.08	0.33	8.07E-01	1.00E+00
SYNGR1	1.69E+01	0.11	0.31	7.24E-01	1.00E+00
SYNGR3	5.70E-01	0.09	1.51	9.51E-01	1.00E+00
SYNJ1	2.40E+02	0.18	0.14	1.74E-01	1.00E+00
SYNJ2	1.40E+03	0.12	0.1	2.21E-01	1.00E+00
SYNJ2BP	7.58E+02	0.11	0.07	1.42E-01	1.00E+00
SYNJ2BP-COX16	5.84E-01	1.55	2.02	4.44E-01	1.00E+00
SYNPO2	3.35E+00	0.35	0.61	5.66E-01	1.00E+00
SYNPO2L	2.58E+00	0.01	0.8	9.87E-01	1.00E+00
SYNRG	4.72E+02	0.06	0.07	3.81E-01	1.00E+00
SYPL1	5.23E+02	0.19	0.11	9.51E-02	1.00E+00
SYPL2	2.38E+00	0.49	0.84	5.57E-01	1.00E+00
SYS1	1.53E+02	0.12	0.12	3.29E-01	1.00E+00
SYT1	1.52E+01	0.19	0.32	5.57E-01	1.00E+00
SYT10	4.60E-01	0.05	1.83	9.79E-01	1.00E+00
SYT11	7.09E+01	0.21	0.16	1.93E-01	1.00E+00
SYT14	2.52E+02	0.11	0.14	4.22E-01	1.00E+00
SYT15	1.37E+01	0.71	0.4	7.10E-02	1.00E+00
SYT16	1.28E+01	0.18	0.39	6.50E-01	1.00E+00
SYT3	3.56E+00	0.19	0.69	7.84E-01	1.00E+00
SYT7	3.84E+00	0.62	0.59	2.89E-01	1.00E+00
SYT9	1.91E+00	0.2	1.01	8.45E-01	1.00E+00
SYTL1	2.00E+00	0.13	0.89	8.86E-01	1.00E+00
SYVN1	6.99E+01	0.15	0.2	4.41E-01	1.00E+00
SZRD1	7.63E+02	0.16	0.08	5.63E-02	1.00E+00
TAB3	3.16E+02	0.1	0.09	2.72E-01	1.00E+00
TACC1	2.44E+03	0.03	0.08	7.19E-01	1.00E+00
TACC3	3.36E+02	0.07	0.1	4.66E-01	1.00E+00
TACR2	3.90E+00	0.46	0.79	5.61E-01	1.00E+00
TACSTD2	5.33E+00	0.17	0.46	7.19E-01	1.00E+00
TADA2B	2.06E+02	0.11	0.11	3.06E-01	1.00E+00
TAF1	6.16E+02	0.01	0.09	9.23E-01	1.00E+00
TAF10	7.85E+01	0.01	0.16	9.59E-01	1.00E+00
